title_pattern,Freq,transaction_index,cluster_index
xml,15,"[166, 662, 1305, 1446, 1534, 1545, 1634, 2088, 2170, 2333, 2463, 2711, 2738, 3400, 3933]",51
extend abstract,10,"[57, 919, 950, 1507, 1558, 1587, 1590, 2058, 2071, 2689]",130
workshop,9,"[1302, 2066, 2806, 3099, 3748, 3749, 3922, 3928, 3934, 3981]",100
name,9,"[159, 306, 496, 519, 1317, 1464, 1776, 3675, 4001]",20
weight,9,"[503, 1619, 2019, 2325, 2627, 2717, 2761, 2970, 3005, 3332, 3551, 3873]",81
transmiss,8,"[118, 997, 1871, 1916, 1965, 1968, 2102, 2404]",125
use applic,8,"[363, 913, 1043, 1200, 1324, 1880, 1930, 2026, 2134, 2633]",101
guest introduct,7,"[3089, 3480, 3737, 3843, 3859, 3865, 3870]",46
autonomi,7,"[707, 708, 2437, 2444, 2445, 2448, 3709]",151
use transform,7,"[1126, 1135, 1692, 1765, 1903, 2361, 3122, 3454]",21
use agent,7,"[1435, 1537, 1717, 2033, 2272, 2360, 2442, 3030, 3323, 3663]",26
virtual realiti,6,"[83, 209, 385, 1281, 1861, 3868]",80
versu,6,"[902, 1380, 2804, 3034, 3531, 3682]",53
among,6,"[41, 762, 1265, 1461, 2346, 3551]",27
user interfac,6,"[1606, 1607, 1776, 3030, 3127, 3751]",141
vlsi,6,"[191, 984, 1103, 1231, 1392, 2794]",99
stabil,6,"[486, 893, 1067, 1454, 3138, 3336]",50
valid model,6,"[220, 532, 578, 625, 639, 2663]",163
satellit,6,"[381, 404, 467, 613, 1799, 3467]",49
symmetri,6,"[1181, 1427, 2383, 2788, 3577, 3594]",144
vehicl,6,"[886, 1226, 1228, 1238, 1240, 2366]",95
intuitionist,5,"[26, 2332, 3899, 3991, 3992]",11
mpeg,5,"[1010, 1015, 1158, 1179, 1966]",127
provis,5,"[433, 477, 2224, 2480, 2642, 3520]",161
perturb,5,"[488, 492, 860, 2056, 2661]",134
workbench,5,"[141, 1406, 1642, 2578, 3803]",71
clinic,5,"[2034, 2063, 2560, 3385, 3835]",156
problem network,5,"[324, 631, 913, 1349, 1920, 2606, 3969, 3972]",106
itemset,5,"[856, 1500, 1612, 1711, 2081]",69
learn algorithm,5,"[88, 1442, 1824, 2077, 2700, 3883]",97
string,5,"[280, 284, 418, 3163, 3452]",67
gener framework,5,"[48, 195, 874, 1751, 2418]",37
block network,5,"[2544, 2546, 3200, 3382, 3952]",154
comput function,5,"[216, 495, 2423, 3161, 3169, 3325]",40
window,5,"[264, 594, 970, 3029, 3988]",164
varianc,5,"[640, 1165, 1450, 2146, 2790]",139
summari,5,"[710, 757, 763, 1517, 2390, 3099]",117
realist,5,"[193, 1281, 1386, 1697, 3872]",9
visualis,5,"[207, 209, 1523, 1700, 1978, 2452]",73
techniqu network,4,"[481, 631, 1421, 1921, 3654]",39
toward model,4,"[270, 724, 1258, 1486]",120
workflow system,4,"[1529, 1782, 3266, 3892]",3
storag retriev,4,"[823, 1337, 1955, 2170]",74
valu decomposit,4,"[1127, 1576, 3352, 3699]",29
data transmiss,4,"[118, 1916, 1968, 2102]",138
adapt network,4,"[461, 631, 1966, 3758]",57
coordin system,4,"[863, 881, 3165, 3755]",18
two convex,4,"[1596, 2289, 2992, 2999]",137
mpeg compress,4,"[1010, 1015, 1158, 1179]",129
toward databas,4,"[270, 1215, 1465, 2467]",140
adapt hypermedia,4,"[6, 9, 10, 70]",109
cdma system,4,"[378, 392, 2539, 3948]",152
speech recognit,4,"[901, 2188, 3383, 3668]",82
file system,4,"[30, 498, 2790, 3780]",103
video segment,4,"[1001, 1200, 1938, 1976, 1979]",83
model studi,4,"[1567, 1575, 2815, 3358, 3715]",17
tool program,4,"[914, 1406, 1409, 1419, 1699, 3129]",92
tool learn,4,"[1857, 1969, 2512, 2927, 2928]",5
tool techniqu,4,"[1193, 2148, 3879, 3881]",32
video applic,4,"[402, 963, 1056, 1200, 1949]",22
decis system,4,"[523, 855, 2007, 2353, 3038]",65
video sequenc,4,"[1032, 1083, 1113, 3088, 3766]",118
high speed,4,"[202, 1370, 2367, 2626]",119
knowledg case,4,"[12, 1884, 2002, 2034]",98
gener analysi,4,"[821, 3205, 3772, 3801]",79
planar graph,4,"[57, 2291, 2953, 3278]",1
classifi system,4,"[570, 2063, 2065, 2728]",66
unifi approach,4,"[134, 1397, 2175, 3649]",28
toler system,4,"[180, 519, 987, 3731]",15
perform server,4,"[259, 2228, 3494, 3500]",153
relat structur,4,"[1774, 2171, 2745, 3305, 3350]",112
framework simul,4,"[614, 616, 2435, 2568]",38
tempor logic,4,"[872, 2336, 2678, 2731]",7
probabl network,4,"[2544, 2546, 3200, 3952]",25
studi support,4,"[9, 1409, 1851, 3895]",45
fast recognit,4,"[1123, 1192, 1285, 3121]",41
debug program,4,"[1506, 1699, 2391, 2393]",91
transit system,4,"[187, 913, 1810, 3174]",63
comput block,4,"[375, 2423, 2544, 3200, 3952]",149
multimedia inform,4,"[531, 1337, 1954, 3770]",147
java virtual,4,"[526, 2623, 3978, 3979]",166
deploy system,4,"[100, 182, 1778, 2268, 2468]",121
rout protocol,4,"[583, 1104, 2313, 3501]",76
linear time,4,"[318, 1556, 1560, 3097]",14
use character,4,"[410, 1850, 2230, 3454, 3574]",77
use depend,4,"[1504, 2366, 2452, 2563]",24
use intellig,4,"[1670, 1824, 2033, 2230, 2360, 3030, 3323]",96
use domain,4,"[1010, 1114, 1776, 2237, 2446]",110
use logic,4,"[458, 717, 2334, 2678]",54
person use,4,"[53, 1987, 3313, 3849]",58
network manag,4,"[1366, 1436, 1437, 2349, 2639, 3197, 3323]",30
maximum graph,4,"[2294, 3005, 3115, 3994]",87
process descript,4,"[502, 1656, 2076, 2121]",142
analysi access,4,"[18, 1503, 2251, 2625]",68
test system,4,"[498, 515, 2534, 2941, 3139]",42
document use,4,"[900, 1184, 2438, 3394]",102
side,4,"[267, 802, 876, 2261, 2411, 2482, 2981]",124
design base,4,"[443, 629, 984, 1162, 1289]",12
portabl,4,"[585, 774, 1634, 3177]",56
uniqu,4,"[2995, 3442, 3686, 3746]",165
simultan,4,"[370, 1395, 1448, 1955]",62
roadmap,4,"[1299, 1309, 1310, 1313]",94
profil,4,"[895, 1208, 1590, 2831]",75
transduc,4,"[157, 589, 992, 1508]",132
invit,4,"[464, 989, 1490, 1764]",126
loop,4,"[501, 591, 781, 1491]",128
deliveri,4,"[1921, 1930, 3091, 3094]",93
quantiz,4,"[267, 268, 1199, 2174]",123
chemic,4,"[2964, 3230, 3699, 3705]",148
wdm,4,"[343, 1593, 2714, 2721]",143
homomorph,4,"[422, 1512, 1558, 3388]",43
coupl,4,"[727, 1227, 1542, 2211, 3434, 3587]",55
wrapper,4,"[1331, 1717, 1763, 3409]",107
affin,4,"[895, 3053, 3064, 3346]",47
root,4,"[155, 2995, 3134, 3995]",88
year,4,"[3077, 3129, 3472, 3925]",146
emul,4,"[273, 342, 440, 2231]",111
receiv,4,"[382, 386, 2595, 2630]",155
phone,4,"[1079, 3211, 3321, 3333]",115
uniform,4,"[1368, 1546, 3009, 3549]",52
remov,4,"[233, 1002, 1550, 3239]",90
virtuellen,4,"[208, 2618, 2756, 3730]",70
trust,4,"[2260, 2270, 2487, 3709, 3937]",158
surviv,4,"[300, 2031, 3843, 3951]",72
ration,4,"[78, 874, 1802, 2470]",122
provid,4,"[912, 2509, 2531, 3071]",145
diagnost,4,"[95, 201, 1281, 2560, 2619]",135
trend,4,"[191, 906, 3469, 3833]",48
conform,4,"[2963, 2968, 2969, 3687]",160
crossov,4,"[1830, 1838, 2132, 3300]",86
causal,4,"[3351, 3485, 3573, 3888]",59
vote,4,"[64, 1128, 2723, 3232]",8
design algorithm,4,"[444, 1670, 3514, 3688]",60
effici queri,4,"[37, 977, 2023, 2295]",150
unit,4,"[421, 612, 2851, 2968]",36
router support,4,"[109, 2211, 2212, 2540]",89
review system,4,"[2731, 2737, 2738, 2739]",2
templat,4,"[130, 1930, 3110, 3654]",23
support distribut,4,"[1488, 1783, 3038, 3857]",61
effici object,4,"[37, 769, 1109, 3006]",108
method problem,4,"[489, 491, 834, 1049]",44
warehous,4,"[796, 1771, 1883, 2477]",10
softwar environ,4,"[463, 634, 1929, 2429]",31
static analysi,4,"[130, 239, 772, 2341]",114
structur motion,4,"[841, 843, 844, 1047]",64
web base,4,"[87, 294, 1639, 1776, 2521, 2681, 2916]",4
analyz system,4,"[879, 957, 1375, 3755]",16
multistag network,4,"[200, 3382, 3498, 3949]",105
cmo,4,"[242, 448, 1549, 2422]",35
contract,4,"[230, 908, 939, 2276]",159
quantifi,4,"[742, 2026, 2623, 3343]",113
possibl,4,"[557, 2488, 2564, 3884]",162
collis,4,"[120, 320, 1258, 3231]",78
school,4,"[2517, 2572, 2909, 2922]",133
persist,4,"[28, 1413, 1819, 3183]",33
skeleton,4,"[1020, 1062, 2652, 2692]",136
warp,4,"[632, 845, 2694, 3449]",157
movement,4,"[15, 377, 731, 1675]",19
trade,4,"[152, 675, 786, 1624, 1864, 1914, 2711]",6
reusabl,4,"[607, 1792, 2115, 2129]",131
phylogeni,4,"[282, 283, 1389, 2870]",85
robocup,4,"[1381, 2200, 2202, 2819]",84
contextu,4,"[138, 156, 793, 993]",13
intension,4,"[272, 312, 990, 1360]",116
nest,4,"[636, 2289, 3280, 3402]",104
distribut resourc,4,"[129, 1339, 1414, 3939]",34
